id,name,rating,about
11,Shizuoka Single Malt Prologue K and Prologue W2x20cl,value dont exist here,"A pair of Japanese single malts from Shizuoka Distillery, an up-and-coming distillery that repurposed equipment from the now-closed Karuizawa distillery. Prologue K was made in an ex-Karuizawa still and matured in first-fill bourbon casks, creating notes of white peaches, vanilla, white pepper and fennel seeds throughout the palate. Prologue W was made using a wood-fired still, know as Pot Still W, and matured in ex-bourbon casks, creating notes of honey, apples, apricots, lemon sponge cake and delicate smoke that linger in the finish."
12,Nikka Coffey Grain Whisky Show Package2 Sunday Tickets,value dont exist here,"A great ticket bundle to get you in the mood for Whisky Show 2022, complete with a bottle of Nikka Coffey grain whisky, a Nikka tumbler and round ice mould, and a tasting book from The Whisky Exchange. This set also includes a pair of Sunday Tickets to Whisky Show 2022.A release of grain whisky from Japan's Nikka, produced mainly from corn using one of their continuous Coffey stills. Rather than the rare and limited releases they have done before, this is a larger release to further show off this key component in the Nikka family of whiskies.Please noteThis product is a bundle offer. It will be displayed in the checkout with the special discounted price, and the components shown below as free. Please be aware that there are no extra free items with these bundles."
13,Hakushu 10 Year Old,5(1 Review),"A younger expression of Hakushu, this well-mannered 10yo represents one of the gentlest introductions to the elegant, impeccably-constructed qualities of Japanese malt whisky."
14,Miyagikyo 10 Year Old,value dont exist here,"A soft, clean, sweetly fruity and extremely approachable Japanese malt from the Miyagikyo distillery in Sendai, northern Japan.Tasting Notes (2) "
15,Yoichi 10 Year Old,4.5(9 Reviews),"A ten year old, elegantly peaty single malt from Nikka's beautiful Yoichi distillery in Hokkaido, where whisky is made as it used to be in Scotland with small direct-fired stills and matured in the finest wood the company can find. Bottled at 45% for extra oomph. On the face of it, this is expensive for a ten year old whisky, but it's well worth the money in quality terms.Tasting Notes (2) "
16,Miyagikyo 15 Year Old,4(1 Review),A top-quality malt from the Miyagikyo distillery (also sometimes known as Sendai). A previous batch of this managed a hugely impressive 92 points from Jim Murray.
17,Ichiro's Malt & GrainJapanese Blended Whisky 2020,value dont exist here,"A limited-edition bottling of Ichiro's Malt & Grain Japanese blended whisky from Chichibu, released in 2020, is classic and sweet with notes of fresh mint, sticky toffee pudding and wisps of peat smoke throughout the palate."
18,Yoichi 20 Year Old,5(3 Reviews),A powerful cask-strength 20-year-old single malt from the Yoichi distillery that previously bested some very high-profile Scottish malts at a blind tasting in 2003 and received 95 points in Jim Murray's Whisky Bible.Tasting Notes (2) 
19,Chichibu 2010Cask #1000,value dont exist here,"A limited edition Japanese single malt from Chichibu, distilled in 2010 and matured in a single Mizunara oak hogshead, before being bottled in 2018 for Number One Drinks."
20,Chichibu 200910 Year Old Artist International 10th Anniversary,value dont exist here,value dont exist here
21,Karuizawa 1981Sherry Cask #6056,value dont exist here,"An incredibly intense 1981 vintage bottling from cult closed Japanese distillery Karuizawa. Aged in a sherry cask for more than 30 years, this is another excellent example from this legendary distillery – it might just be the best one that we've bottled.Tasting Notes (1) "
22,Hanyu 1985 The JokerMonochrome Label,value dont exist here,"The last and final release from the Ichiro's Malt Card series bottlings from the closed Hanyu distillery. The Joker ""Monochrome"", perhaps is the rarest and most sought after from this legendary series."
23,Suntory Torys Classic,3.5(2 Reviews),"Suntory Torys Classic is a light and easy-drinking Japanese spirit. Due to being below 40% abv, this cannot be called a whisky in the EU, but is still made from a blend of malt and grain."
24,Suntory Toki,4(33 Reviews),"Toki is a blended whisky from Suntory's three distilleries: Yamazaki, Hakushu and Chita. This is a round and sweet blend with a refreshing citrus character and a spicy finish.'Toki' means 'time' in Japanese. Toki has a different composition to its sister blend, Suntory Hibiki, and its main components are Hakushu single malt and Chita grain whisky.Tasting Notes (1) "
25,Nikka Coffey Grain Whisky,4.5(51 Reviews),"A release of grain whisky from Japan's Nikka, produced mainly from corn using one of their continuous Coffey stills. Rather than the rare and limited releases they have done before, this is a larger release to further show off this key component in the Nikka family of whiskies.Tasting Notes (2) "
26,Hakushu Distiller's Reserve,4.5(28 Reviews),"A green and crunchy entry in the Hakushu Range, combining whisky of a wide variety of ages, from across the range of casks used by the distillery to create a gently smoky dram, packed with fruity flavour.Tasting Notes (1) "
27,Akashi Single Malt Whisky,5(1 Review),"Akashi Single Malt Whisky is made at the White Oak distillery in the Hyogo prefecture. Producing using lightly peated barley and aged in three different types of cask, this is the brand's flagship malt."
28,Miyagikyo Single Malt,4.5(9 Reviews),"Nikka's entry-level whisky from Miyagikyo distillery. Light in body, yet full of flavour, this is an excellent introduction to Japanese whisky. Elegantly fruity with sherry-cask character.Tasting Notes (2) "
29,Yoichi Single Malt,4.5(9 Reviews),"Relaunched in 2016, this comes from Nikka's excellent Yoichi distillery. This is a blend of single malts from different years and consequently does not carry an age statement. This is a smoky whisky with a maritime character.Tasting Notes (1) "
30,Kaiyo Peated Mizunara Oak,value dont exist here,"A fruity, zesty and softly-smoky Japanese whisky, matured in mizunara oak casks. Aromas of orange peel, jasmine, soft cedar and coastal air fill the nose. The palate offers notes of earthy coffee, green apples, black tea and fresh herbs, with hints of cinnamon pastries and mango that linger in the finish."
31,Kaiyo Mizunara Oak Cask Strength,5(3 Reviews),"This is cask-strength edition of Kaiyo's Mizunara matured whisky. It's a rare beast, as there's not much Mizunara – Japanese oak – and only a tiny amount gets turned into whisky casks. It's worth the effort, as it adds a distinctly Japanese edge to the whisky, layering on incense-laden spiciness. Kaiyo go even further, shipping their casks out to sea for months before bottling to give them a gentle rock on the waves, getting even more flavour out of the wood."
32,Akashi 5 Year OldSherry Cask Half Litre,5(2 Reviews),"Akashi Single Malt Whisky is made at the White Oak distillery in the Hyogo prefecture. Matured for two years in sherry butts and three years in hogsheads, this is a lightly peated Japanese whisky."
33,Nikka Coffey Grain Whisky Show Package1 Sunday Ticket,value dont exist here,"A great ticket bundle to get you in the mood for Whisky Show 2022, complete with a bottle of Nikka Coffey Grain whisky, a Nikka tumbler and round ice mould, and a tasting book from The Whisky Exchange. This bundle also includes a Sunday ticket to Whisky Show 2022.A release of grain whisky from Japan's Nikka, produced mainly from corn using one of their continuous Coffey stills. Rather than the rare and limited releases they have done before, this is a larger release to further show off this key component in the Nikka family of whiskies.Please noteThis product is a bundle offer. It will be displayed in the checkout with the special discounted price, and the components shown below as free. Please be aware that there are no extra free items with these bundles."
34,Shizuoka Single Malt Prologue K and Prologue W2x20cl,value dont exist here,"A pair of Japanese single malts from Shizuoka Distillery, an up-and-coming distillery that repurposed equipment from the now-closed Karuizawa distillery. Prologue K was made in an ex-Karuizawa still and matured in first-fill bourbon casks, creating notes of white peaches, vanilla, white pepper and fennel seeds throughout the palate. Prologue W was made using a wood-fired still, know as Pot Still W, and matured in ex-bourbon casks, creating notes of honey, apples, apricots, lemon sponge cake and delicate smoke that linger in the finish."
35,Nikka Coffey Grain Whisky Show Package2 Sunday Tickets,value dont exist here,"A great ticket bundle to get you in the mood for Whisky Show 2022, complete with a bottle of Nikka Coffey grain whisky, a Nikka tumbler and round ice mould, and a tasting book from The Whisky Exchange. This set also includes a pair of Sunday Tickets to Whisky Show 2022.A release of grain whisky from Japan's Nikka, produced mainly from corn using one of their continuous Coffey stills. Rather than the rare and limited releases they have done before, this is a larger release to further show off this key component in the Nikka family of whiskies.Please noteThis product is a bundle offer. It will be displayed in the checkout with the special discounted price, and the components shown below as free. Please be aware that there are no extra free items with these bundles."
36,Hakushu 10 Year Old,5(1 Review),"A younger expression of Hakushu, this well-mannered 10yo represents one of the gentlest introductions to the elegant, impeccably-constructed qualities of Japanese malt whisky."
37,Miyagikyo 10 Year Old,value dont exist here,"A soft, clean, sweetly fruity and extremely approachable Japanese malt from the Miyagikyo distillery in Sendai, northern Japan.Tasting Notes (2) "
38,Yoichi 10 Year Old,4.5(9 Reviews),"A ten year old, elegantly peaty single malt from Nikka's beautiful Yoichi distillery in Hokkaido, where whisky is made as it used to be in Scotland with small direct-fired stills and matured in the finest wood the company can find. Bottled at 45% for extra oomph. On the face of it, this is expensive for a ten year old whisky, but it's well worth the money in quality terms.Tasting Notes (2) "
39,Miyagikyo 15 Year Old,4(1 Review),A top-quality malt from the Miyagikyo distillery (also sometimes known as Sendai). A previous batch of this managed a hugely impressive 92 points from Jim Murray.
40,Ichiro's Malt & GrainJapanese Blended Whisky 2020,value dont exist here,"A limited-edition bottling of Ichiro's Malt & Grain Japanese blended whisky from Chichibu, released in 2020, is classic and sweet with notes of fresh mint, sticky toffee pudding and wisps of peat smoke throughout the palate."
41,Yoichi 20 Year Old,5(3 Reviews),A powerful cask-strength 20-year-old single malt from the Yoichi distillery that previously bested some very high-profile Scottish malts at a blind tasting in 2003 and received 95 points in Jim Murray's Whisky Bible.Tasting Notes (2) 
42,Chichibu 2010Cask #1000,value dont exist here,"A limited edition Japanese single malt from Chichibu, distilled in 2010 and matured in a single Mizunara oak hogshead, before being bottled in 2018 for Number One Drinks."
43,Chichibu 200910 Year Old Artist International 10th Anniversary,value dont exist here,value dont exist here
44,Karuizawa 1981Sherry Cask #6056,value dont exist here,"An incredibly intense 1981 vintage bottling from cult closed Japanese distillery Karuizawa. Aged in a sherry cask for more than 30 years, this is another excellent example from this legendary distillery – it might just be the best one that we've bottled.Tasting Notes (1) "
45,Hanyu 1985 The JokerMonochrome Label,value dont exist here,"The last and final release from the Ichiro's Malt Card series bottlings from the closed Hanyu distillery. The Joker ""Monochrome"", perhaps is the rarest and most sought after from this legendary series."
46,Suntory Torys Classic,3.5(2 Reviews),"Suntory Torys Classic is a light and easy-drinking Japanese spirit. Due to being below 40% abv, this cannot be called a whisky in the EU, but is still made from a blend of malt and grain."
47,Suntory Toki,4(33 Reviews),"Toki is a blended whisky from Suntory's three distilleries: Yamazaki, Hakushu and Chita. This is a round and sweet blend with a refreshing citrus character and a spicy finish.'Toki' means 'time' in Japanese. Toki has a different composition to its sister blend, Suntory Hibiki, and its main components are Hakushu single malt and Chita grain whisky.Tasting Notes (1) "
48,Nikka Coffey Grain Whisky,4.5(51 Reviews),"A release of grain whisky from Japan's Nikka, produced mainly from corn using one of their continuous Coffey stills. Rather than the rare and limited releases they have done before, this is a larger release to further show off this key component in the Nikka family of whiskies.Tasting Notes (2) "
49,Hakushu Distiller's Reserve,4.5(28 Reviews),"A green and crunchy entry in the Hakushu Range, combining whisky of a wide variety of ages, from across the range of casks used by the distillery to create a gently smoky dram, packed with fruity flavour.Tasting Notes (1) "
50,Akashi Single Malt Whisky,5(1 Review),"Akashi Single Malt Whisky is made at the White Oak distillery in the Hyogo prefecture. Producing using lightly peated barley and aged in three different types of cask, this is the brand's flagship malt."
51,Miyagikyo Single Malt,4.5(9 Reviews),"Nikka's entry-level whisky from Miyagikyo distillery. Light in body, yet full of flavour, this is an excellent introduction to Japanese whisky. Elegantly fruity with sherry-cask character.Tasting Notes (2) "
52,Yoichi Single Malt,4.5(9 Reviews),"Relaunched in 2016, this comes from Nikka's excellent Yoichi distillery. This is a blend of single malts from different years and consequently does not carry an age statement. This is a smoky whisky with a maritime character.Tasting Notes (1) "
53,Kaiyo Peated Mizunara Oak,value dont exist here,"A fruity, zesty and softly-smoky Japanese whisky, matured in mizunara oak casks. Aromas of orange peel, jasmine, soft cedar and coastal air fill the nose. The palate offers notes of earthy coffee, green apples, black tea and fresh herbs, with hints of cinnamon pastries and mango that linger in the finish."
54,Kaiyo Mizunara Oak Cask Strength,5(3 Reviews),"This is cask-strength edition of Kaiyo's Mizunara matured whisky. It's a rare beast, as there's not much Mizunara – Japanese oak – and only a tiny amount gets turned into whisky casks. It's worth the effort, as it adds a distinctly Japanese edge to the whisky, layering on incense-laden spiciness. Kaiyo go even further, shipping their casks out to sea for months before bottling to give them a gentle rock on the waves, getting even more flavour out of the wood."
55,Akashi 5 Year OldSherry Cask Half Litre,5(2 Reviews),"Akashi Single Malt Whisky is made at the White Oak distillery in the Hyogo prefecture. Matured for two years in sherry butts and three years in hogsheads, this is a lightly peated Japanese whisky."
56,Nikka Coffey Grain Whisky Show Package1 Sunday Ticket,value dont exist here,"A great ticket bundle to get you in the mood for Whisky Show 2022, complete with a bottle of Nikka Coffey Grain whisky, a Nikka tumbler and round ice mould, and a tasting book from The Whisky Exchange. This bundle also includes a Sunday ticket to Whisky Show 2022.A release of grain whisky from Japan's Nikka, produced mainly from corn using one of their continuous Coffey stills. Rather than the rare and limited releases they have done before, this is a larger release to further show off this key component in the Nikka family of whiskies.Please noteThis product is a bundle offer. It will be displayed in the checkout with the special discounted price, and the components shown below as free. Please be aware that there are no extra free items with these bundles."
57,Shizuoka Single Malt Prologue K and Prologue W2x20cl,value dont exist here,"A pair of Japanese single malts from Shizuoka Distillery, an up-and-coming distillery that repurposed equipment from the now-closed Karuizawa distillery. Prologue K was made in an ex-Karuizawa still and matured in first-fill bourbon casks, creating notes of white peaches, vanilla, white pepper and fennel seeds throughout the palate. Prologue W was made using a wood-fired still, know as Pot Still W, and matured in ex-bourbon casks, creating notes of honey, apples, apricots, lemon sponge cake and delicate smoke that linger in the finish."
58,Nikka Coffey Grain Whisky Show Package2 Sunday Tickets,value dont exist here,"A great ticket bundle to get you in the mood for Whisky Show 2022, complete with a bottle of Nikka Coffey grain whisky, a Nikka tumbler and round ice mould, and a tasting book from The Whisky Exchange. This set also includes a pair of Sunday Tickets to Whisky Show 2022.A release of grain whisky from Japan's Nikka, produced mainly from corn using one of their continuous Coffey stills. Rather than the rare and limited releases they have done before, this is a larger release to further show off this key component in the Nikka family of whiskies.Please noteThis product is a bundle offer. It will be displayed in the checkout with the special discounted price, and the components shown below as free. Please be aware that there are no extra free items with these bundles."
59,Hakushu 10 Year Old,5(1 Review),"A younger expression of Hakushu, this well-mannered 10yo represents one of the gentlest introductions to the elegant, impeccably-constructed qualities of Japanese malt whisky."
60,Miyagikyo 10 Year Old,value dont exist here,"A soft, clean, sweetly fruity and extremely approachable Japanese malt from the Miyagikyo distillery in Sendai, northern Japan.Tasting Notes (2) "
61,Yoichi 10 Year Old,4.5(9 Reviews),"A ten year old, elegantly peaty single malt from Nikka's beautiful Yoichi distillery in Hokkaido, where whisky is made as it used to be in Scotland with small direct-fired stills and matured in the finest wood the company can find. Bottled at 45% for extra oomph. On the face of it, this is expensive for a ten year old whisky, but it's well worth the money in quality terms.Tasting Notes (2) "
62,Miyagikyo 15 Year Old,4(1 Review),A top-quality malt from the Miyagikyo distillery (also sometimes known as Sendai). A previous batch of this managed a hugely impressive 92 points from Jim Murray.
63,Ichiro's Malt & GrainJapanese Blended Whisky 2020,value dont exist here,"A limited-edition bottling of Ichiro's Malt & Grain Japanese blended whisky from Chichibu, released in 2020, is classic and sweet with notes of fresh mint, sticky toffee pudding and wisps of peat smoke throughout the palate."
64,Yoichi 20 Year Old,5(3 Reviews),A powerful cask-strength 20-year-old single malt from the Yoichi distillery that previously bested some very high-profile Scottish malts at a blind tasting in 2003 and received 95 points in Jim Murray's Whisky Bible.Tasting Notes (2) 
65,Chichibu 2010Cask #1000,value dont exist here,"A limited edition Japanese single malt from Chichibu, distilled in 2010 and matured in a single Mizunara oak hogshead, before being bottled in 2018 for Number One Drinks."
66,Chichibu 200910 Year Old Artist International 10th Anniversary,value dont exist here,value dont exist here
67,Karuizawa 1981Sherry Cask #6056,value dont exist here,"An incredibly intense 1981 vintage bottling from cult closed Japanese distillery Karuizawa. Aged in a sherry cask for more than 30 years, this is another excellent example from this legendary distillery – it might just be the best one that we've bottled.Tasting Notes (1) "
68,Hanyu 1985 The JokerMonochrome Label,value dont exist here,"The last and final release from the Ichiro's Malt Card series bottlings from the closed Hanyu distillery. The Joker ""Monochrome"", perhaps is the rarest and most sought after from this legendary series."
69,Suntory Torys Classic,3.5(2 Reviews),"Suntory Torys Classic is a light and easy-drinking Japanese spirit. Due to being below 40% abv, this cannot be called a whisky in the EU, but is still made from a blend of malt and grain."
70,Suntory Toki,4(33 Reviews),"Toki is a blended whisky from Suntory's three distilleries: Yamazaki, Hakushu and Chita. This is a round and sweet blend with a refreshing citrus character and a spicy finish.'Toki' means 'time' in Japanese. Toki has a different composition to its sister blend, Suntory Hibiki, and its main components are Hakushu single malt and Chita grain whisky.Tasting Notes (1) "
71,Nikka Coffey Grain Whisky,4.5(51 Reviews),"A release of grain whisky from Japan's Nikka, produced mainly from corn using one of their continuous Coffey stills. Rather than the rare and limited releases they have done before, this is a larger release to further show off this key component in the Nikka family of whiskies.Tasting Notes (2) "
72,Hakushu Distiller's Reserve,4.5(28 Reviews),"A green and crunchy entry in the Hakushu Range, combining whisky of a wide variety of ages, from across the range of casks used by the distillery to create a gently smoky dram, packed with fruity flavour. Tasting Notes (1) "
73,Akashi Single Malt Whisky,5(1 Review),"Akashi Single Malt Whisky is made at the White Oak distillery in the Hyogo prefecture. Producing using lightly peated barley and aged in three different types of cask, this is the brand's flagship malt."
74,Miyagikyo Single Malt,4.5(9 Reviews),"Nikka's entry-level whisky from Miyagikyo distillery. Light in body, yet full of flavour, this is an excellent introduction to Japanese whisky. Elegantly fruity with sherry-cask character.Tasting Notes (2) "
75,Yoichi Single Malt,4.5(9 Reviews),"Relaunched in 2016, this comes from Nikka's excellent Yoichi distillery. This is a blend of single malts from different years and consequently does not carry an age statement. This is a smoky whisky with a maritime character.Tasting Notes (1) "
76,Kaiyo Peated Mizunara Oak,value dont exist here,"A fruity, zesty and softly-smoky Japanese whisky, matured in mizunara oak casks. Aromas of orange peel, jasmine, soft cedar and coastal air fill the nose. The palate offers notes of earthy coffee, green apples, black tea and fresh herbs, with hints of cinnamon pastries and mango that linger in the finish."
77,Kaiyo Mizunara Oak Cask Strength,5(3 Reviews),"This is cask-strength edition of Kaiyo's Mizunara matured whisky. It's a rare beast, as there's not much Mizunara – Japanese oak – and only a tiny amount gets turned into whisky casks. It's worth the effort, as it adds a distinctly Japanese edge to the whisky, layering on incense-laden spiciness. Kaiyo go even further, shipping their casks out to sea for months before bottling to give them a gentle rock on the waves, getting even more flavour out of the wood."
78,Akashi 5 Year OldSherry Cask Half Litre,5(2 Reviews) ,"Akashi Single Malt Whisky is made at the White Oak distillery in the Hyogo prefecture. Matured for two years in sherry butts and three years in hogsheads, this is a lightly peated Japanese whisky."
79,Nikka Coffey Grain Whisky Show Package1 Sunday Ticket,value dont exist here,"A great ticket bundle to get you in the mood for Whisky Show 2022, complete with a bottle of Nikka Coffey Grain whisky, a Nikka tumbler and round ice mould, and a tasting book from The Whisky Exchange. This bundle also includes a Sunday ticket to Whisky Show 2022.A release of grain whisky from Japan's Nikka, produced mainly from corn using one of their continuous Coffey stills. Rather than the rare and limited releases they have done before, this is a larger release to further show off this key component in the Nikka family of whiskies.Please noteThis product is a bundle offer. It will be displayed in the checkout with the special discounted price, and the components shown below as free. Please be aware that there are no extra free items with these bundles."
80,Shizuoka Single Malt Prologue K and Prologue W2x20cl,value dont exist here,"A pair of Japanese single malts from Shizuoka Distillery, an up-and-coming distillery that repurposed equipment from the now-closed Karuizawa distillery. Prologue K was made in an ex-Karuizawa still and matured in first-fill bourbon casks, creating notes of white peaches, vanilla, white pepper and fennel seeds throughout the palate. Prologue W was made using a wood-fired still, know as Pot Still W, and matured in ex-bourbon casks, creating notes of honey, apples, apricots, lemon sponge cake and delicate smoke that linger in the finish."
81,Nikka Coffey Grain Whisky Show Package2 Sunday Tickets,value dont exist here,"A great ticket bundle to get you in the mood for Whisky Show 2022, complete with a bottle of Nikka Coffey grain whisky, a Nikka tumbler and round ice mould, and a tasting book from The Whisky Exchange. This set also includes a pair of Sunday Tickets to Whisky Show 2022.A release of grain whisky from Japan's Nikka, produced mainly from corn using one of their continuous Coffey stills. Rather than the rare and limited releases they have done before, this is a larger release to further show off this key component in the Nikka family of whiskies.Please noteThis product is a bundle offer. It will be displayed in the checkout with the special discounted price, and the components shown below as free. Please be aware that there are no extra free items with these bundles."
82,Hakushu 10 Year Old,5(1 Review),"A younger expression of Hakushu, this well-mannered 10yo represents one of the gentlest introductions to the elegant, impeccably-constructed qualities of Japanese malt whisky."
83,Miyagikyo 10 Year Old,value dont exist here,"A soft, clean, sweetly fruity and extremely approachable Japanese malt from the Miyagikyo distillery in Sendai, northern Japan.Tasting Notes (2) "
84,Yoichi 10 Year Old,4.5(9 Reviews),"A ten year old, elegantly peaty single malt from Nikka's beautiful Yoichi distillery in Hokkaido, where whisky is made as it used to be in Scotland with small direct-fired stills and matured in the finest wood the company can find. Bottled at 45% for extra oomph. On the face of it, this is expensive for a ten year old whisky, but it's well worth the money in quality terms.Tasting Notes (2) "
85,Miyagikyo 15 Year Old,4(1 Review),A top-quality malt from the Miyagikyo distillery (also sometimes known as Sendai). A previous batch of this managed a hugely impressive 92 points from Jim Murray.
86,Ichiro's Malt & GrainJapanese Blended Whisky 2020,value dont exist here,"A limited-edition bottling of Ichiro's Malt & Grain Japanese blended whisky from Chichibu, released in 2020, is classic and sweet with notes of fresh mint, sticky toffee pudding and wisps of peat smoke throughout the palate."
87,Yoichi 20 Year Old,5(3 Reviews),A powerful cask-strength 20-year-old single malt from the Yoichi distillery that previously bested some very high-profile Scottish malts at a blind tasting in 2003 and received 95 points in Jim Murray's Whisky Bible.Tasting Notes (2) 
88,Chichibu 2010Cask #1000,value dont exist here,"A limited edition Japanese single malt from Chichibu, distilled in 2010 and matured in a single Mizunara oak hogshead, before being bottled in 2018 for Number One Drinks."
89,Chichibu 200910 Year Old Artist International 10th Anniversary,value dont exist here,value dont exist here
90,Karuizawa 1981Sherry Cask #6056,value dont exist here,"An incredibly intense 1981 vintage bottling from cult closed Japanese distillery Karuizawa. Aged in a sherry cask for more than 30 years, this is another excellent example from this legendary distillery – it might just be the best one that we've bottled.Tasting Notes (1) "
91,Hanyu 1985 The JokerMonochrome Label,value dont exist here,"The last and final release from the Ichiro's Malt Card series bottlings from the closed Hanyu distillery. The Joker ""Monochrome"", perhaps is the rarest and most sought after from this legendary series."
92,Suntory Torys Classic,3.5(2 Reviews),"Suntory Torys Classic is a light and easy-drinking Japanese spirit. Due to being below 40% abv, this cannot be called a whisky in the EU, but is still made from a blend of malt and grain."
93,Suntory Toki,4(33 Reviews),"Toki is a blended whisky from Suntory's three distilleries: Yamazaki, Hakushu and Chita. This is a round and sweet blend with a refreshing citrus character and a spicy finish.'Toki' means 'time' in Japanese. Toki has a different composition to its sister blend, Suntory Hibiki, and its main components are Hakushu single malt and Chita grain whisky.Tasting Notes (1) "
94,Nikka Coffey Grain Whisky,4.5(51 Reviews),"A release of grain whisky from Japan's Nikka, produced mainly from corn using one of their continuous Coffey stills. Rather than the rare and limited releases they have done before, this is a larger release to further show off this key component in the Nikka family of whiskies.Tasting Notes (2) "
95,Hakushu Distiller's Reserve,4.5(28 Reviews),"A green and crunchy entry in the Hakushu Range, combining whisky of a wide variety of ages, from across the range of casks used by the distillery to create a gently smoky dram, packed with fruity flavour.Tasting Notes (1) "
96,Akashi Single Malt Whisky,5(1 Review),"Akashi Single Malt Whisky is made at the White Oak distillery in the Hyogo prefecture. Producing using lightly peated barley and aged in three different types of cask, this is the brand's flagship malt."
97,Miyagikyo Single Malt,4.5(9 Reviews),"Nikka's entry-level whisky from Miyagikyo distillery. Light in body, yet full of flavour, this is an excellent introduction to Japanese whisky. Elegantly fruity with sherry-cask character.Tasting Notes (2) "
98,Yoichi Single Malt,4.5(9 Reviews),"Relaunched in 2016, this comes from Nikka's excellent Yoichi distillery. This is a blend of single malts from different years and consequently does not carry an age statement. This is a smoky whisky with a maritime character.Tasting Notes (1) "
99,Kaiyo Peated Mizunara Oak,value dont exist here,"A fruity, zesty and softly-smoky Japanese whisky, matured in mizunara oak casks. Aromas of orange peel, jasmine, soft cedar and coastal air fill the nose. The palate offers notes of earthy coffee, green apples, black tea and fresh herbs, with hints of cinnamon pastries and mango that linger in the finish."
100,Kaiyo Mizunara Oak Cask Strength,5(3 Reviews),"This is cask-strength edition of Kaiyo's Mizunara matured whisky. It's a rare beast, as there's not much Mizunara – Japanese oak – and only a tiny amount gets turned into whisky casks. It's worth the effort, as it adds a distinctly Japanese edge to the whisky, layering on incense-laden spiciness. Kaiyo go even further, shipping their casks out to sea for months before bottling to give them a gentle rock on the waves, getting even more flavour out of the wood."
101,Akashi 5 Year OldSherry Cask Half Litre,5(2 Reviews),"Akashi Single Malt Whisky is made at the White Oak distillery in the Hyogo prefecture. Matured for two years in sherry butts and three years in hogsheads, this is a lightly peated Japanese whisky."
